        Frequency / MHz                S1,1 (Mesh Pass=5)/arg,degrees
                  193.14                      -9.3896006
               193.39999                      -9.9554678
                  193.66                      -10.519368
                  193.92                      -11.081957
               194.17999                      -11.643017
                  194.44                      -12.202546
                   194.7                      -12.760108
               194.96001                      -13.315812
                  195.22                      -13.869768
                  195.48                      -14.422083
               195.74001                      -14.973308
                     196                       -15.52322
               196.25999                      -16.071821
                  196.52                      -16.618673
                  196.78                      -17.163668
               197.03999                      -17.706802
                   197.3                      -18.248412
                  197.56                      -18.788596
               197.82001                      -19.327361
                  198.08                      -19.864706
                  198.34                      -20.400413
               198.60001                      -20.933713
                  198.86                       -21.46483
                  199.12                      -21.993978
                  199.38                      -22.521159
                  199.64                      -23.046481
               199.89999                      -23.569839
                  200.16                       -24.09079
                  200.42                      -24.609012
               200.67999                      -25.124062
                  200.94                       -25.63627
                   201.2                      -26.145419
               201.46001                      -26.651838
                  201.72                      -27.155305
                  201.98                      -27.655384
               202.24001                      -28.151528
                   202.5                      -28.643195
               202.75999                      -29.130485
                  203.02                      -29.613625
                  203.28                      -30.092287
               203.53999                      -30.566576
                   203.8                      -31.035835
                  204.06                      -31.499521
               204.32001                      -31.956982
                  204.58                      -32.408322
                  204.84                      -32.852994
               205.10001                      -33.291547
                  205.36                      -33.723107
                  205.62                      -34.147778
                  205.88                      -34.564583
                  206.14                      -34.972539
               206.39999                       -35.37142
                  206.66                      -35.761014
                  206.92                      -36.141102
               207.17999                       -36.51135
                  207.44                      -36.871113
                   207.7                      -37.219398
               207.96001                      -37.555007
                  208.22                      -37.876956
                  208.48                      -38.184804
               208.74001                      -38.477792
                     209                       -38.75537
               209.25999                      -39.016341
                  209.52                      -39.258841
                  209.78                      -39.481008
               210.03999                       -39.68067
                   210.3                      -39.856287
                  210.56                      -40.006332
               210.82001                       -40.12873
                  211.08                      -40.220962
                  211.34                      -40.279434
               211.60001                      -40.300194
                  211.86                      -40.278775
                  212.12                      -40.211023
                  212.38                      -40.092449
                  212.64                      -39.917812
               212.89999                      -39.681108
                  213.16                      -39.374786
                  213.42                      -38.989784
               213.67999                      -38.516805
                  213.94                      -37.947442
                   214.2                      -37.273275
               214.46001                      -36.487312
                  214.72                      -35.581683
                  214.98                      -34.547755
               215.24001                      -33.375367
                   215.5                       -32.05337
               215.75999                      -30.570729
                  216.02                      -28.917493
                  216.28                      -27.085692
               216.53999                      -25.070842
                   216.8                      -22.872175
                  217.06                      -20.494723
               217.32001                      -17.950068
                  217.58                      -15.258209
                  217.84                      -12.447011
               218.10001                      -9.5512303
                  218.36                      -6.6100961
                  218.62                      -3.6646996
                  218.88                      -0.7563506
                  219.14                       2.0757192
               219.39999                       4.7955548
                  219.66                       7.3732138
                  219.92                        9.785855
               220.17999                       12.018945
                  220.44                        14.06516
                   220.7                       15.923299
               220.96001                        17.59664
                  221.22                       19.090976
                  221.48                       20.413739
               221.74001                       21.574982
                     222                        22.58552
               222.25999                       23.457598
                  222.52                       24.203456
                  222.78                       24.834237
               223.03999                       25.360107
                   223.3                       25.790027
                  223.56                       26.132847
               223.82001                       26.396328
                  224.08                       26.588776
                  224.34                       26.717403
               224.60001                       26.788983
                  224.86                       26.808543
                  225.12                       26.781005
                  225.38                       26.710082
                  225.64                       26.599702
               225.89999                       26.453593
                  226.16                       26.275682
                  226.42                       26.068917
               226.67999                       25.836035
                  226.94                       25.578782
                   227.2                        25.29869
               227.46001                       24.997397
                  227.72                        24.67676
                  227.98                        24.33864
               228.24001                       23.984453
                   228.5                       23.615951
               228.75999                       23.233569
                  229.02                       22.837855
                  229.28                       22.429574
               229.53999                        22.00938
                   229.8                       21.578696
                  230.06                       21.138286
               230.32001                        20.68924
                  230.58                       20.231674
                  230.84                       19.766126
               231.10001                       19.292495
                  231.36                       18.811431
                  231.62                       18.323592
                  231.88                       17.829852
                  232.14                       17.330866
               232.39999                        16.82707
                  232.66                       16.318249
                  232.92                       15.804837
               233.17999                       15.286727
                  233.44                       14.764681
                   233.7                       14.239357
               233.96001                       13.711301
                  234.22                       13.180731
                  234.48                       12.647978
               234.74001                       12.112382
                     235                       11.574601
               235.25999                       11.034523
                  235.52                       10.493026
                  235.78                       9.9505443
               236.03999                       9.4075165
                   236.3                       8.8636155
                  236.56                       8.3189485
               236.82001                       7.7732984
                  237.08                       7.2268838
                  237.34                       6.6800314
               237.60001                       6.1332884
                  237.86                       5.5868737
                  238.12                       5.0410051
                  238.38                       4.4951362
                  238.64                       3.9492671
               238.89999                       3.4031801
                  239.16                       2.8574207
                  239.42                       2.3120982
               239.67999                       1.7676502
                  239.94                        1.224295
                   240.2                      0.68137697
               240.46001                      0.13878671
                  240.72                     -0.40358491
                  240.98                     -0.94562873
               241.24001                      -1.4872355
                   241.5                      -2.0277493
               241.75999                      -2.5672794
                  242.02                      -3.1059357
                  242.28                      -3.6443731
               242.53999                      -4.1827011
                   242.8                      -4.7209202
                  243.06                      -5.2588113
               243.32001                      -5.7959371
                  243.58                      -6.3322985
                  243.84                      -6.8680043
               244.10001                      -7.4036001
                  244.36                      -7.9393055
                  244.62                      -8.4753384
                  244.88                      -9.0114813
                  245.14                      -9.5475141
               245.39999                      -10.083001
                  245.66                      -10.618269
                  245.92                      -11.153647
               246.17999                       -11.68968
                  246.44                      -12.226588
                   246.7                      -12.764042
               246.96001                      -13.302041
                  247.22                      -13.840042
                  247.48                      -14.378371
               247.74001                      -14.917245
                     248                      -15.457323
               248.25999                       -15.99871
                  248.52                      -16.541409
                  248.78                      -17.085203
               249.03999                      -17.629978
                   249.3                      -18.175518
                  249.56                      -18.722151
               249.82001                      -19.270534
                  250.08                      -19.820775
                  250.34                      -20.373199
               250.60001                      -20.927483
                  250.86                      -21.483516
                  251.12                      -22.040859
                  251.38                       -22.60006
                  251.64                      -23.161446
               251.89999                      -23.725456
                  252.16                      -24.292528
                  252.42                      -24.862218
               252.67999                      -25.434426
                  252.94                      -26.008925
                   253.2                      -26.585721
               253.46001                       -27.16525
                  253.72                      -27.748385
                  253.98                      -28.335125
               254.24001                       -28.92558
                   254.5                      -29.519313
               254.75999                      -30.116218
                  255.02                      -30.716185
                  255.28                      -31.319753
               255.53999                      -31.927258
                   255.8                       -32.53935
                  256.06                      -33.156036
               256.32001                      -33.777093
