        Frequency / MHz                S1,1 (Mesh Pass=5)/abs,dB
                  127.88                      -5.7615279
                  128.14                      -5.9694056
               128.39999                      -6.1921361
                  128.66                      -6.4309291
                  128.92                      -6.6871795
               129.17999                      -6.9625737
                  129.44                      -7.2591797
                   129.7                      -7.5794539
               129.96001                      -7.9261025
                  130.22                      -8.3018483
                  130.48                      -8.7091877
               130.74001                      -9.1502522
                     131                      -9.6268917
               131.25999                       -10.14095
                  131.52                      -10.694622
                  131.78                      -11.290711
               132.03999                      -11.932544
                   132.3                      -12.623397
                  132.56                      -13.365353
               132.82001                      -14.157449
                  133.08                      -14.992863
                  133.34                      -15.854553
               133.60001                      -16.708774
                  133.86                      -17.497204
                  134.12                      -18.133016
                  134.38                      -18.513546
                  134.64                      -18.559637
               134.89999                      -18.261806
                  135.16                      -17.687131
                  135.42                      -16.938467
               135.67999                      -16.109183
                  135.94                      -15.263894
                   136.2                      -14.440159
               136.46001                      -13.656971
                  136.72                      -12.922412
                  136.98                      -12.238666
               137.24001                      -11.604858
                   137.5                      -11.018522
               137.75999                       -10.47639
                  138.02                      -9.9748801
                  138.28                      -9.5104497
               138.53999                       -9.079843
                   138.8                      -8.6801869
                  139.06                      -8.3089747
               139.32001                      -7.9639553
                  139.58                      -7.6430309
                  139.84                      -7.3441991
               140.10001                      -7.0655846
                  140.36                      -6.8054981
                  140.62                      -6.5624856
                  140.88                      -6.3353152
                  141.14                      -6.1229151
               141.39999                      -5.9242792
                  141.66                      -5.7384192
                  141.92                      -5.5643632
               142.17999                      -5.4012037
                  142.44                      -5.2481566
                   142.7                      -5.1045741
               142.96001                      -4.9699162
                  143.22                       -4.843687
                  143.48                       -4.725372
               143.74001                      -4.6144381
                     144                      -4.5103585
               144.25999                      -4.4126683
                  144.52                      -4.3209987
                  144.78                       -4.235067
               145.03999                      -4.1546276
                   145.3                      -4.0794193
                  145.56                      -4.0091352
               145.82001                      -3.9434564
                  146.08                      -3.8820869
                  146.34                      -3.8248034
               146.60001                      -3.7714567
                  146.86                      -3.7219367
                  147.12                       -3.676122
                  147.38                      -3.6338469
                  147.64                      -3.5949085
               147.89999                      -3.5591072
                  148.16                      -3.5262954
                  148.42                      -3.4963933
               148.67999                      -3.4693644
                  148.94                      -3.4451761
                   149.2                      -3.4237509
               149.46001                      -3.4049645
                  149.72                      -3.3886794
                  149.98                      -3.3747919
               150.24001                      -3.3632574
                   150.5                      -3.3540865
               150.75999                      -3.3472965
                  151.02                      -3.3428721
                  151.28                      -3.3407488
               151.53999                      -3.3408305
                   151.8                      -3.3430394
                  152.06                      -3.3473541
               152.32001                      -3.3538091
                  152.58                      -3.3624595
                  152.84                      -3.3733357
               153.10001                       -3.386416
                  153.36                      -3.4016408
                  153.62                      -3.4189515
                  153.88                      -3.4383375
                  154.14                      -3.4598479
               154.39999                       -3.483565
                  154.66                      -3.5095544
                  154.92                      -3.5378325
               155.17999                      -3.5683664
                  155.44                      -3.6011133
                   155.7                      -3.6360678
               155.96001                      -3.6732836
                  156.22                      -3.7128626
                  156.48                      -3.7548964
               156.74001                      -3.7994328
                     157                      -3.8464595
               157.25999                      -3.8959413
                  157.52                      -3.9478681
                  157.78                      -4.0022916
               158.03999                      -4.0593154
                   158.3                      -4.1190484
                  158.56                      -4.1815557
               158.82001                       -4.246834
                  159.08                      -4.3148393
                  159.34                      -4.3855388
               159.60001                      -4.4589604
                  159.86                      -4.5351906
                  160.12                      -4.6143321
                  160.38                      -4.6964448
                  160.64                      -4.7815069
               160.89999                      -4.8694362
                  161.16                      -4.9601472
                  161.42                      -5.0536088
               161.67999                      -5.1498605
                  161.94                      -5.2489701
                   162.2                      -5.3509628
               162.46001                      -5.4557753
                  162.72                      -5.5632607
                  162.98                      -5.6732641
               163.24001                      -5.7856908
                   163.5                      -5.9005517
               163.75999                      -6.0179253
                  164.02                      -6.1378812
                  164.28                      -6.2604244
               164.53999                      -6.3855098
                   164.8                        -6.51314
                  165.06                       -6.643491
               165.32001                      -6.7770016
                  165.58                      -6.9143761
                  165.84                      -7.0565372
               166.10001                      -7.2045986
                  166.36                      -7.3599461
                  166.62                      -7.5244502
                  166.88                      -7.7007583
                  167.14                       -7.892555
               167.39999                      -8.1047559
                  167.66                      -8.3436476
                  167.92                      -8.6170976
               168.17999                      -8.9349623
                  168.44                      -9.3097437
                   168.7                       -9.757439
               168.96001                      -10.298487
                  169.22                       -10.95873
                  169.48                      -11.770575
               169.74001                      -12.774676
                     170                      -14.022603
               170.25999                      -15.580182
                  170.52                       -17.52603
                  170.78                      -19.910119
               171.03999                      -22.488587
                   171.3                      -23.891352
                  171.56                      -22.664713
               171.82001                      -20.305418
                  172.08                      -18.130279
                  172.34                      -16.356105
               172.60001                        -14.9243
                  172.86                      -13.754511
                  173.12                      -12.783369
                  173.38                      -11.964712
                  173.64                      -11.265017
               173.89999                      -10.659493
                  174.16                      -10.129431
                  174.42                       -9.660519
               174.67999                      -9.2417679
                  174.94                      -8.8647497
                   175.2                      -8.5229684
               175.46001                      -8.2113098
                  175.72                      -7.9256157
                  175.98                      -7.6623981
               176.24001                      -7.4187072
                   176.5                      -7.1921017
               176.75999                       -6.980618
                  177.02                      -6.7827053
                  177.28                      -6.5971004
               177.53999                      -6.4227063
                   177.8                      -6.2585037
                  178.06                      -6.1035453
               178.32001                      -5.9569931
                  178.58                      -5.8181574
                  178.84                      -5.6865067
               179.10001                      -5.5616134
                  179.36                      -5.4430857
                  179.62                      -5.3305194
                  179.88                      -5.2234917
                  180.14                      -5.1216024
               180.39999                      -5.0245191
                  180.66                      -4.9319979
                  180.92                      -4.8438582
               181.17999                      -4.7599332
                  181.44                      -4.6800272
                   181.7                      -4.6039068
               181.96001                       -4.531333
                  182.22                      -4.4621051
                  182.48                      -4.3960841
               182.74001                      -4.3331825
                     183                      -4.2733276
               183.25999                      -4.2164168
                  183.52                       -4.162306
                  183.78                       -4.110835
               184.03999                      -4.0618611
                   184.3                      -4.0152913
                  184.56                      -3.9710839
               184.82001                      -3.9292101
                  185.08                      -3.8896241
                  185.34                      -3.8522347
               185.60001                      -3.8169256
                  185.86                      -3.7835856
                  186.12                      -3.7521442
                  186.38                      -3.7225775
                  186.64                      -3.6948884
               186.89999                      -3.6690693
                  187.16                      -3.6450732
                  187.42                      -3.6228216
               187.67999                      -3.6022236
                  187.94                       -3.583218
                   188.2                      -3.5657796
               188.46001                      -3.5499168
                  188.72                      -3.5356357
                  188.98                       -3.522918
               189.24001                      -3.5117149
                   189.5                      -3.5019687
               189.75999                      -3.4936375
                  190.02                      -3.4867129
                  190.28                      -3.4812134
               190.53999                      -3.4771574
                   190.8                      -3.4745405
                  191.06                      -3.4733271
               191.32001                      -3.4734677
                  191.58                      -3.4749266
                  191.84                      -3.4777043
               192.10001                      -3.4818282
                  192.36                      -3.4873342
                  192.62                      -3.4942368
                  192.88                      -3.5025159
                  193.14                       -3.512135
               193.39999                      -3.5230612
                  193.66                      -3.5352966
                  193.92                      -3.5488733
               194.17999                      -3.5638399
                  194.44                      -3.5802289
                   194.7                       -3.598037
               194.96001                      -3.6172391
                  195.22                      -3.6378061
                  195.48                      -3.6597386
               195.74001                      -3.6830736
